SampleID , process , xsectioninpb , kfactor , filtefficiency , xsecunc , generator

345073 , PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_tautaul13l7       , 0.23721  , 1      , 0.057926 , 1
345074 , PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_tautaulm15hp20    , 0.23721  , 2      , 0.040337 , 1
345075 , PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_tautaulp15hm20    , 0.23721  , 2      , 0.040323 , 1
345076 , PowhegPy8EG_NNPDF30_AZNLOCTEQ6L1_VBFH125_tautauh30h20      , 0.23721  , 1      , 0.19829  , 1
345211 , PowhegPy8EG_NNPDF30_AZNLO_WmH125J_Winc_MINLO_tautau        , 0.033417 , 2      , 1        , 1
345212 , PowhegPy8EG_NNPDF30_AZNLO_WpH125J_Winc_MINLO_tautau        , 0.052685 , 2      , 1        , 1
345217 , PowhegPy8EG_NNPDF30_AZNLO_ZH125J_Zinc_MINLO_tautau         , 0.055438 , 2      , 1        , 1
343365 , aMcAtNloPythia8EvtGen_A14_NNPDF23_NNPDF30ME_ttH125_dilep   , 0.5071   , 1      , 1 	   , 1


363490,  Sherpa_221_NNPDF30NNLO_llll				      , 1.2557     ,1.  ,  1.      , 1.
363491,  Sherpa_221_NNPDF30NNLO_lllv				      , 4.5877      ,1.  ,  1.       , 1.
363492,  Sherpa_221_NNPDF30NNLO_llvv 				      ,	    12.465      ,1.  ,  1.      , 1.
363493,  Sherpa_221_NNPDF30NNLO_lvvv 				      ,	3.2274     ,1.  ,  1.      , 1.  
363494,  Sherpa_221_NNPDF30NNLO_vvvv 				      ,	   0.60154     ,1.  ,  1.      , 1.

363355,	  Sherpa_221_NNPDF30NNLO_ZqqZvv   			      , 15.564      ,1.  ,  0.27976  , 1.
363356,  Sherpa_221_NNPDF30NNLO_ZqqZll   			      , 15.563       ,1.  ,  0.13961  , 1.
363357,  Sherpa_221_NNPDF30NNLO_WqqZvv   			     ,	6.7973 	     ,1.  ,  1.      , 1.
363358,  Sherpa_221_NNPDF30NNLO_WqqZll   			     , 3.437       ,1.  ,  1.       , 1.
363359,  Sherpa_221_NNPDF30NNLO_WpqqWmlv 			     , 24.717       ,1.  ,  1.      , 1.
363360,  Sherpa_221_NNPDF30NNLO_WplvWmqq 			     , 24.734      ,1.  ,  1.      , 1.
363489,  Sherpa_221_NNPDF30NNLO_WlvZqq   			     , 11.413      ,1.  ,  1.      , 1.

364100 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto        , 1983.0     , 0.9751 , 0.8221   , 1. 
364101 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto      , 1978.4     , 0.9751 , 0.11308  , 1. 
364102 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_BFilter           , 1982.2     , 0.9751 , 0.064161 , 1. 
364103 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto      , 108.92     , 0.9751 , 0.68873  , 1. 
364104 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto    , 109.42     , 0.9751 , 0.18596  , 1. 
364105 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter         , 108.91     , 0.9751 , 0.11375  , 1. 
364106 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CVetoBVeto     , 39.878     , 0.9751 , 0.60899  , 1. 
364107 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto   , 39.795     , 0.9751 , 0.23308  , 1. 
364108 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_BFilter        , 39.908     , 0.9751 , 0.14618  , 1. 
364109 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto     , 8.5375     , 0.9751 , 0.55906  , 1. 
364110 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CFilterBVeto   , 8.5403     , 0.9751 , 0.26528  , 1. 
364111 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter        , 8.4932     , 0.9751 , 0.17559  , 1. 
364112 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV500_1000               , 1.7881     , 0.9751 , 1.0      , 1. 
364113 , Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV1000_E_CMS             , 0.14769    , 0.9751 , 1.0      , 1. 
364114 , Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CVetoBVeto          , 1981.8     , 0.9751 , 0.82106  , 1. 
364115 , Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_CFilterBVeto        , 1980.8     , 0.9751 , 0.11295  , 1. 
364116 , Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV0_70_BFilter             , 1981.7     , 0.9751 , 0.063809 , 1. 
